timestamp,flight,status,departure scheduled time,departure actual time,departure actual date,arrival scheduled time,arrival actual time,arrival actual date,parsed status,raw
Wed May 10 16:00:01 UTC 2017,5061,Arrived Gate 22 Minutes Early,9:10 p.m.,8:55 p.m.,"Tue, May 9",11:36 p.m.,11:14 p.m.,"Tue, May 9",early,"{'5061','STATUS','Arrived Gate 22 Minutes Early','DEPARTURE','Scheduled time:','9:10 p.m.','DEPARTURE','Actual time:','8:55 p.m.','DEPARTURE','Actual date:','Tue, May 9','ARRIVAL','Scheduled time:','11:36 p.m.','ARRIVAL','Actual time:','11:14 p.m.','ARRIVAL','Actual date:','Tue, May 9'}"
Wed May 10 16:00:01 UTC 2017,5141,Arrived Gate 16 Minutes Early,10:30 a.m.,10:23 a.m.,"Tue, May 9",12:56 p.m.,12:40 p.m.,"Tue, May 9",early,"{'5141','STATUS','Arrived Gate 16 Minutes Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:23 a.m.','DEPARTURE','Actual date:','Tue, May 9','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:40 p.m.','ARRIVAL','Actual date:','Tue, May 9'}"
Wed May 10 16:00:01 UTC 2017,5001,Arrived Gate 21 Minutes Early,1:27 p.m.,1:20 p.m.,"Tue, May 9",2:04 p.m.,1:43 p.m.,"Tue, May 9",early,"{'5001','STATUS','Arrived Gate 21 Minutes Early','DEPARTURE','Scheduled time:','1:27 p.m.','DEPARTURE','Actual time:','1:20 p.m.','DEPARTURE','Actual date:','Tue, May 9','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','1:43 p.m.','ARRIVAL','Actual date:','Tue, May 9'}"
Wed May 10 16:00:01 UTC 2017,5109,Arrived Gate 3 Minutes Early,6:10 a.m.,6:03 a.m.,"Tue, May 9",6:47 a.m.,6:44 a.m.,"Tue, May 9",early,"{'5109','STATUS','Arrived Gate 3 Minutes Early','DEPARTURE','Scheduled time:','6:10 a.m.','DEPARTURE','Actual time:','6:03 a.m.','DEPARTURE','Actual date:','Tue, May 9','ARRIVAL','Scheduled time:','6:47 a.m.','ARRIVAL','Actual time:','6:44 a.m.','ARRIVAL','Actual date:','Tue, May 9'}"
Thu May 11 16:00:00 UTC 2017,5061,Delayed due to a late inbound aircraft arrival (arrived gate 43 minutes late),9:10 p.m.,9:52 p.m.,"Wed, May 10",11:36 p.m.,12:19 a.m.,"Thu, May 11",late,"{'5061','STATUS','Delayed due to a late inbound aircraft arrival (arrived gate 43 minutes late)','DEPARTURE','Scheduled time:','9:10 p.m.','DEPARTURE','Actual time:','9:52 p.m.','DEPARTURE','Actual date:','Wed, May 10','ARRIVAL','Scheduled time:','11:36 p.m.','ARRIVAL','Actual time:','12:19 a.m.','ARRIVAL','Actual date:','Thu, May 11'}"
Thu May 11 16:00:00 UTC 2017,5141,Arrived Gate 9 Minutes Early,10:30 a.m.,10:23 a.m.,"Wed, May 10",12:56 p.m.,12:47 p.m.,"Wed, May 10",early,"{'5141','STATUS','Arrived Gate 9 Minutes Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:23 a.m.','DEPARTURE','Actual date:','Wed, May 10','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:47 p.m.','ARRIVAL','Actual date:','Wed, May 10'}"
Thu May 11 16:00:00 UTC 2017,5001,Arrived Gate 5 Minutes Early,1:27 p.m.,1:24 p.m.,"Wed, May 10",2:04 p.m.,1:59 p.m.,"Wed, May 10",early,"{'5001','STATUS','Arrived Gate 5 Minutes Early','DEPARTURE','Scheduled time:','1:27 p.m.','DEPARTURE','Actual time:','1:24 p.m.','DEPARTURE','Actual date:','Wed, May 10','ARRIVAL','Scheduled time:','2:04 p.m.','ARRIVAL','Actual time:','1:59 p.m.','ARRIVAL','Actual date:','Wed, May 10'}"
Thu May 11 16:00:00 UTC 2017,5109,Arrived Gate 6 Minutes Early,6:10 a.m.,6:05 a.m.,"Wed, May 10",6:47 a.m.,6:41 a.m.,"Wed, May 10",early,"{'5109','STATUS','Arrived Gate 6 Minutes Early','DEPARTURE','Scheduled time:','6:10 a.m.','DEPARTURE','Actual time:','6:05 a.m.','DEPARTURE','Actual date:','Wed, May 10','ARRIVAL','Scheduled time:','6:47 a.m.','ARRIVAL','Actual time:','6:41 a.m.','ARRIVAL','Actual date:','Wed, May 10'}"
Fri May 12 16:00:00 UTC 2017,5061,Arrived Gate 4 Minutes Late,9:10 p.m.,9:05 p.m.,"Thu, May 11",11:36 p.m.,11:40 p.m.,"Thu, May 11",late,"{'5061','STATUS','Arrived Gate 4 Minutes Late','DEPARTURE','Scheduled time:','9:10 p.m.','DEPARTURE','Actual time:','9:05 p.m.','DEPARTURE','Actual date:','Thu, May 11','ARRIVAL','Scheduled time:','11:36 p.m.','ARRIVAL','Actual time:','11:40 p.m.','ARRIVAL','Actual date:','Thu, May 11'}"
Fri May 12 16:00:00 UTC 2017,5141,Arrived Gate 15 Minutes Early,10:30 a.m.,10:22 a.m.,"Thu, May 11",12:56 p.m.,12:41 p.m.,"Thu, May 11",early,"{'5141','STATUS','Arrived Gate 15 Minutes Early','DEPARTURE','Scheduled time:','10:30 a.m.','DEPARTURE','Actual time:','10:22 a.m.','DEPARTURE','Actual date:','Thu, May 11','ARRIVAL','Scheduled time:','12:56 p.m.','ARRIVAL','Actual time:','12:41 p.m.','ARRIVAL','Actual date:','Thu, May 11'}"
